variant,seed,scenario,command_vx_m_s,command_wz_rad_s,command_height_m,actual_vx_m_s,actual_height_m,height_bias_mm,vx_full_interval_mae_m_s
supervised_attention,1011,forward,0.5,0,0.3,-0.0006703934060198202,0.2278710365922849,-72.1289634077151,0.5019621479865164
supervised_attention,1011,reverse,-0.5,0,0.3,-0.0006053087950218528,0.2335798572980824,-66.42014270191761,0.49676858572475613
supervised_attention,1011,turn_left,0,1,0.3,-0.0013371424132897635,0.23270146131842684,-67.29853868157313,0.004730475551116861
supervised_attention,1011,turn_right,0,-1,0.3,-0.0012923023975483043,0.23115601589227136,-68.84398410772862,0.004575897845350226
supervised_attention,1022,stand_low,0,0,0.28,0.002663855853773816,0.1806520239569003,-99.34797604309972,0.012323535724318872
supervised_attention,1022,stand_mid,0,0,0.3,0.0025256341222130185,0.1800924472146362,-119.90755278536382,0.01204393296898479
supervised_attention,1022,stand_high,0,0,0.32,0.0021988467715186965,0.1798853603042681,-140.1146396957319,0.011910469445686573
supervised_attention,1022,forward,0.5,0,0.3,0.0016638832109846513,0.17909115279396753,-120.90884720603245,0.5060663216747343
supervised_attention,1022,reverse,-0.5,0,0.3,0.0027142785874723074,0.1806643759103915,-119.33562408960849,0.495835015013814
supervised_attention,1022,turn_left,0,1,0.3,0.005532869976332705,0.1834138144741561,-116.58618552584389,0.014816950237679066
supervised_attention,1022,turn_right,0,-1,0.3,0.0013621391797285424,0.17829682857663745,-121.70317142336253,0.010587589309263443
supervised_attention,1033,stand_low,0,0,0.28,-0.0016367978606902946,0.17706172889461952,-102.9382711053805,0.0029459440389524617
supervised_attention,1033,stand_mid,0,0,0.3,-0.0015913032277114457,0.17728601767411825,-122.71398232588174,0.0029137840598671117
supervised_attention,1033,stand_high,0,0,0.32,-0.0015177048111006254,0.17751746228071397,-142.48253771928603,0.0028862006143194775
supervised_attention,1033,forward,0.5,0,0.3,-0.0009649210962041632,0.1771863628371415,-122.81363716285847,0.5008164681512862
supervised_attention,1033,reverse,-0.5,0,0.3,-0.002247471283663982,0.17667423209021194,-123.32576790978806,0.49715106128156183
supervised_attention,1033,turn_left,0,1,0.3,-0.0016343740163246687,0.18022458462925703,-119.77541537074296,0.0031758744896096688
supervised_attention,1033,turn_right,0,-1,0.3,-0.0021487336929546024,0.17576419848424815,-124.23580151575183,0.004716354357514831
history_mlp,1011,stand_low,0,0,0.28,6.816555508283413e-05,0.18503190252816032,-94.96809747183971,0.004976648532330664
history_mlp,1011,stand_mid,0,0,0.3,5.640169744480189e-05,0.18455129711639717,-115.44870288360282,0.004849739879649228
history_mlp,1011,stand_high,0,0,0.32,-0.00011848224141085033,0.18449367962591245,-135.50632037408755,0.004692930627626765
history_mlp,1011,forward,0.5,0,0.3,9.111819655255315e-05,0.18485186179378182,-115.14813820621815,0.5038363012969493
history_mlp,1011,reverse,-0.5,0,0.3,3.742294312569783e-05,0.18435651775058137,-115.64348224941861,0.49571979221701623
history_mlp,1011,turn_left,0,1,0.3,-0.0010708119138439199,0.17926560733622643,-120.73439266377356,0.006018789096608998
history_mlp,1011,turn_right,0,-1,0.3,0.00012330014303400127,0.19371938988454585,-106.28061011545414,0.005234247771587647
history_mlp,1022,stand_low,0,0,0.28,-0.0006527289158819141,0.28238749749540226,2.3874974954022243,0.008658998369912652
history_mlp,1022,stand_mid,0,0,0.3,-0.0006142790857001779,0.28246549920340985,-17.534500796590123,0.008459881391790262
history_mlp,1022,stand_high,0,0,0.32,-0.0005185915215744657,0.2825275330001974,-37.472466999802634,0.008278741575270402
history_mlp,1022,forward,0.5,0,0.3,-0.0005204498399257185,0.2824037633157061,-17.596236684293864,0.5076401742380112
history_mlp,1022,reverse,-0.5,0,0.3,-0.0007075313675432571,0.282521958593248,-17.478041406751945,0.4920555192790925
history_mlp,1022,turn_left,0,1,0.3,-0.000746602788158699,0.2824649313917221,-17.535068608277903,0.008927916804147031
history_mlp,1022,turn_right,0,-1,0.3,-0.0004997047174358045,0.28245631116315545,-17.543688836844527,0.008344042798791008
history_mlp,1033,stand_low,0,0,0.28,0.00011047657464993177,0.1876557136096761,-92.34428639032394,0.004951906666360745
history_mlp,1033,stand_mid,0,0,0.3,0.00013575181499048887,0.18712274213489757,-112.87725786510242,0.005024234441325873
history_mlp,1033,stand_high,0,0,0.32,0.00012340047376460292,0.18656449861687852,-133.4355013831215,0.005057251011244242
history_mlp,1033,forward,0.5,0,0.3,0.0001658441383947662,0.18138282113398455,-118.61717886601545,0.5036955967154354
history_mlp,1033,reverse,-0.5,0,0.3,-0.0002717998266021371,0.192839009981766,-107.16099001823397,0.49490233170799913
history_mlp,1033,turn_left,0,1,0.3,0.00010579883339969991,0.18374766135477502,-116.25233864522497,0.004995272325923253
history_mlp,1033,turn_right,0,-1,0.3,0.00013842549271756303,0.19005950689232964,-109.94049310767036,0.005009907442590048
history_gru,1011,stand_low,0,0,0.28,-0.003897265095665318,0.1804077409705217,-99.59225902947834,0.005377033105717146
history_gru,1011,stand_mid,0,0,0.3,-0.0038717519576035404,0.18041508900184905,-119.58491099815095,0.004990172021709782
