variant,training_seed,scenario,evaluation_seed,height_command_m,height_signed_bias_mm,height_within_episode_std_mm,vx_signed_error_m_s,wz_signed_error_rad_s,height_full_interval_mae_mm,planar_speed_full_interval_m_s,tilt_full_interval_rad,nonwheel_netforce_full_interval_N,vx_full_interval_mae_m_s,wz_full_interval_mae_rad_s,terminated_count,truncated_count,done_count,steady_coverage,steady_samples,steady_segments,short_segments,short_retained_samples,reward_mean_diagnostic,leg_target_derivative_rms_rad_s,wheel_target_derivative_rms_rad_s2,leg_effort_derivative_rms_Nm_s,wheel_effort_derivative_rms_Nm_s
last_token_attention,1033,turn_right,301,0.3,-125.24725690384658,0.0021345838444256403,-0.0035621581555662805,0.9995557507701952,124.51721521280706,0.006920354906014836,0.029231999236391856,124.66563474327326,0.006663028017664147,1.0040111335068942,0,8,8,0.8995,14392,8,8,0,0.020137911445963254,0.008003807176924433,0.025601969084012056,0.6919086526445763,1.0960179138136368
time_attention,1011,stand_low,301,0.28,-100.90596355050553,0.0008149673055729822,0.000158082433561644,0.002000769758913534,100.36180750839412,0.00401297656182048,0.08245125800569077,86.09210719668866,0.003230577021772377,0.01275133268819809,0,8,8,0.8995,14392,8,8,0,0.029596601594006643,0.00039487363404540636,0.002058840407342061,0.48057473811055346,0.16334816344420794
time_attention,1011,stand_mid,301,0.3,-120.97710066098612,0.000586136253151423,5.615895843883554e-05,0.0031339681440777463,120.29415395390242,0.004373748093858183,0.08212865152070299,86.42075312411785,0.0033719730199727282,0.01367973183250615,0,8,8,0.8995,14392,8,8,0,0.029610792745661457,0.0003833103818767791,0.0019870065006767487,0.2770303771516632,0.1323690759034374
time_attention,1011,stand_high,301,0.32,-141.08264504860944,0.00029898114142298555,-0.00011560416304006594,0.0033124724152979908,140.32378608826548,0.00435518959820638,0.08077946105843875,86.2027966132164,0.0032285395234474094,0.013643131348696443,0,8,8,0.8995,14392,8,8,0,0.029609152039920445,0.00033224713756772076,0.0016931755874986262,0.2012145660104263,0.1512454445066885
time_attention,1011,forward,301,0.3,-121.15357621568253,0.0048523563988513456,-0.49967521227163175,0.0024005604447460967,120.47114954702556,0.004578433735819395,0.07714138953783549,84.49667102885246,0.4985337312892079,0.012408308850125536,0,8,8,0.8995,14392,8,8,0,0.01709146713402879,0.00045716886192504564,0.002059929913381417,0.46143104383455735,0.1818215379285993
time_attention,1011,reverse,301,0.3,-122.70709869139655,0.023414922353654007,0.5000537636546444,0.0006523555764160917,121.99796875100583,0.0036727541381352184,0.05834278994076885,73.252855134964,0.5008529184013605,0.009393277865703794,0,8,8,0.8995,14392,8,8,0,0.017107748311005706,0.0015663230891141368,0.010464740140402313,2.362008261343409,3.1162510679946167
time_attention,1011,turn_left,301,0.3,-122.48400260609947,0.006532826071351204,0.0005604015813634379,-0.9968139141085677,121.79093894176185,0.004645261681736656,0.06209408121882007,83.71870215320587,0.00392594444366921,0.9971345994994044,0,8,8,0.8995,14392,8,8,0,0.019981972352368756,0.00023072578912517263,0.00130711871034829,0.4387051724013511,0.15740599982860543
time_attention,1011,turn_right,301,0.3,-116.02557513276828,0.0007475950791484837,-0.0005431765368809342,0.9997469454862925,115.39983655605465,0.007254105134345081,0.15113277831918095,92.06972726607323,0.005842796017952423,0.9996816105134785,0,8,8,0.8995,14392,8,8,0,0.019307522373710525,0.0014964697234622255,0.012760698015205067,0.13177305764030567,0.2710838563755405
time_attention,1022,stand_low,301,0.28,-30.73257595412495,0.4604331311988798,0.0046013445287527216,-0.01786076573169287,30.72703971993178,0.008633042324654526,0.4989492016002769,184.43201384162901,0.007002563776526586,0.0256241918289179,0,8,8,0.8995,14392,8,8,0,0.027588103924295865,0.0027071421378673244,0.013765875618528824,0.8096769537295673,0.7893671526297775
time_attention,1022,stand_mid,301,0.3,-50.91117927105711,0.4898261230033158,0.00470684654167838,-0.017920742806748918,50.73137922491878,0.008529348021256737,0.4980619850028306,183.2552241897583,0.007077375805158226,0.025471802152344025,0,8,8,0.8995,14392,8,8,0,0.02181890634028241,0.0012841756742420821,0.00609662669041122,0.7347372293376618,0.5475941075358809
time_attention,1022,stand_high,301,0.32,-70.9945729997355,0.49364086155313475,0.004682928009225367,-0.01766909815538898,70.69316454604268,0.008474868815945228,0.4975570885511115,182.4395154056549,0.007048529631429119,0.025153012888178637,0,8,8,0.8995,14392,8,8,0,0.020789213989221025,0.0012239481663228586,0.005840664686393775,0.7246769478528806,0.5551369422756065
time_attention,1022,forward,301,0.3,-50.70047911407717,1.4498224438652032,-0.4958899528980918,-0.015438483220451575,50.635707006789744,0.009543041397851084,0.4577528950185515,181.2554108028412,0.49613066235743464,0.024218111310537097,0,8,8,0.8995,14392,8,8,0,0.01068531199010522,0.0026967385998935968,0.01639238234814734,2.197511647018452,1.876968316013153
time_attention,1022,reverse,301,0.3,-51.60178403251532,0.13619826023925774,0.5020547577776862,-0.0035389230505238406,51.41924048215151,0.005575373488349897,0.5013781009893864,173.24070843982696,0.5019104960262776,0.01116913405555988,0,8,8,0.8995,14392,8,8,0,0.008790238774707177,0.0010609875745237099,0.005955587253128417,0.38315998522712513,0.5005994355857679
time_attention,1022,turn_left,301,0.3,-50.72702033514608,0.882377279548826,0.0054687505503852925,-0.9924725749099701,50.65600771829486,0.012705858565334068,0.20291249778086784,136.73281609010695,0.009771251750562896,0.9900584438443184,0,8,8,0.8995,14392,8,8,0,0.019619715845561585,0.004705646202341568,0.04150537967893164,2.194014389701999,21.711950480091268
