stage,variant,train_seed,height,status,metric,value,n,mean,sample_std
stage-b,baseline,33,,completed,optimization.first_update.loss,0.06002005562186241,,,
stage-b,baseline,33,,completed,optimization.first_update.auxiliary_loss,0.0,,,
stage-b,baseline,33,,completed,optimization.first_update.auxiliary_coef,0.0,,,
stage-b,baseline,33,,completed,optimization.first_update.grad_norm,1.548914909362793,,,
stage-b,baseline,33,,completed,optimization.first_update.optimizer_steps,1,,,
stage-b,baseline,33,,completed,optimization.first_update.planned_optimizer_steps,8,,,
stage-b,baseline,33,,completed,optimization.first_update.sample_count,4096,,,
stage-b,baseline,33,,completed,optimization.first_update.early_stopped,True,,,
stage-b,baseline,33,,completed,optimization.first_update.stop_kl,0.08657015860080719,,,
stage-b,baseline,33,,completed,optimization.first_update.initial_mean_abs,0.442314147569301,,,
stage-b,baseline,33,,completed,optimization.first_update.initial_std_mean,0.20000000298023224,,,
stage-b,baseline,33,,completed,optimization.first_update.initial_std_min,0.20000000298023224,,,
stage-b,baseline,33,,completed,optimization.first_update.initial_std_max,0.20000000298023224,,,
stage-b,baseline,33,,completed,optimization.first_update.first_step_kl,0.08595781459038807,,,
stage-b,baseline,33,,completed,optimization.first_update.first_step_mean_kl,0.08595775456151211,,,
stage-b,baseline,33,,completed,optimization.first_update.first_step_std_kl,6.002887595551e-08,,,
stage-b,baseline,33,,completed,optimization.first_update.first_step_mean_change_rms,0.033854415476198906,,,
stage-b,baseline,33,,completed,optimization.first_update.first_step_normalized_mean_change_rms,0.16927207485864404,,,
stage-b,baseline,33,,completed,optimization.first_update.final_kl,0.08595781459038807,,,
stage-b,baseline,33,,completed,optimization.first_update.final_mean_kl,0.08595775456151211,,,
stage-b,baseline,33,,completed,optimization.first_update.final_std_kl,6.002887595551e-08,,,
stage-b,baseline,33,,completed,optimization.first_update.final_mean_change_rms,0.033854415476198906,,,
stage-b,baseline,33,,completed,optimization.first_update.final_std_mean,0.19999999552965164,,,
stage-b,baseline,33,,completed,optimization.last_update.actor_loss,0.0009243131207767874,,,
stage-b,baseline,33,,completed,optimization.last_update.value_loss,0.0037343666481319815,,,
stage-b,baseline,33,,completed,optimization.last_update.entropy,-1.1335468143224716,,,
stage-b,baseline,33,,completed,optimization.last_update.kl,0.0054943647410254925,,,
stage-b,baseline,33,,completed,optimization.last_update.clip_fraction,0.066986083984375,,,
stage-b,baseline,33,,completed,optimization.last_update.loss,0.010326413612347096,,,
stage-b,baseline,33,,completed,optimization.last_update.auxiliary_loss,0.0,,,
stage-b,baseline,33,,completed,optimization.last_update.auxiliary_coef,0.0,,,
stage-b,baseline,33,,completed,optimization.last_update.grad_norm,3.47375950217247,,,
stage-b,baseline,33,,completed,optimization.last_update.optimizer_steps,8,,,
stage-b,baseline,33,,completed,optimization.last_update.planned_optimizer_steps,8,,,
stage-b,baseline,33,,completed,optimization.last_update.sample_count,32768,,,
stage-b,baseline,33,,completed,optimization.last_update.early_stopped,False,,,
stage-b,baseline,33,,completed,optimization.last_update.stop_kl,0.0,,,
stage-b,baseline,33,,completed,optimization.last_update.initial_mean_abs,1.3037988537486171,,,
stage-b,baseline,33,,completed,optimization.last_update.initial_std_mean,0.20030250151952106,,,
stage-b,baseline,33,,completed,optimization.last_update.initial_std_min,0.20010507106781006,,,
stage-b,baseline,33,,completed,optimization.last_update.initial_std_max,0.2003980278968811,,,
stage-b,baseline,33,,completed,optimization.last_update.first_step_kl,0.0026950853416151843,,,
stage-b,baseline,33,,completed,optimization.last_update.first_step_mean_kl,0.002695081292955026,,,
stage-b,baseline,33,,completed,optimization.last_update.first_step_std_kl,4.048660158456673e-09,,,
stage-b,baseline,33,,completed,optimization.last_update.first_step_mean_change_rms,0.006005189874603451,,,
stage-b,baseline,33,,completed,optimization.last_update.first_step_normalized_mean_change_rms,0.029972950570116827,,,
stage-b,baseline,33,,completed,optimization.last_update.final_kl,0.005848248888068249,,,
stage-b,baseline,33,,completed,optimization.last_update.final_mean_kl,0.0058479879427536085,,,
stage-b,baseline,33,,completed,optimization.last_update.final_std_kl,2.6094531463971164e-07,,,
stage-b,baseline,33,,completed,optimization.last_update.final_mean_change_rms,0.00884520311920472,,,
stage-b,baseline,33,,completed,optimization.last_update.final_std_mean,0.2003361831108729,,,
stage-b,baseline,33,,completed,optimization.step_utilization,0.159375,,,
stage-b,baseline,44,,completed,learning_rate,0.0001,,,
stage-b,baseline,44,,completed,mean_init_scale,1.0,,,
stage-b,baseline,44,,completed,initial_std,0.2,,,
stage-b,baseline,44,,completed,sampled_training_rss_peak_mib,4725.42578125,,,
stage-b,baseline,44,,completed,optimization.updates_observed,80,,,
stage-b,baseline,44,,completed,optimization.actual_optimizer_steps,96,,,
stage-b,baseline,44,,completed,optimization.planned_optimizer_steps,640,,,
stage-b,baseline,44,,completed,optimization.early_stopped_updates,78,,,
stage-b,baseline,44,,completed,optimization.first_update.actor_loss,-0.006827354431152344,,,
stage-b,baseline,44,,completed,optimization.first_update.value_loss,0.012325345538556576,,,
stage-b,baseline,44,,completed,optimization.first_update.entropy,-1.1429965496063232,,,
stage-b,baseline,44,,completed,optimization.first_update.kl,0.0,,,
stage-b,baseline,44,,completed,optimization.first_update.clip_fraction,0.0,,,
stage-b,baseline,44,,completed,optimization.first_update.loss,0.011212973855435848,,,
stage-b,baseline,44,,completed,optimization.first_update.auxiliary_loss,0.0,,,
stage-b,baseline,44,,completed,optimization.first_update.auxiliary_coef,0.0,,,
stage-b,baseline,44,,completed,optimization.first_update.grad_norm,1.530940294265747,,,
stage-b,baseline,44,,completed,optimization.first_update.optimizer_steps,1,,,
stage-b,baseline,44,,completed,optimization.first_update.planned_optimizer_steps,8,,,
stage-b,baseline,44,,completed,optimization.first_update.sample_count,4096,,,
stage-b,baseline,44,,completed,optimization.first_update.early_stopped,True,,,
stage-b,baseline,44,,completed,optimization.first_update.stop_kl,0.09111514687538147,,,
stage-b,baseline,44,,completed,optimization.first_update.initial_mean_abs,0.5141113878167591,,,
stage-b,baseline,44,,completed,optimization.first_update.initial_std_mean,0.20000000298023224,,,
stage-b,baseline,44,,completed,optimization.first_update.initial_std_min,0.20000000298023224,,,
stage-b,baseline,44,,completed,optimization.first_update.initial_std_max,0.20000000298023224,,,
stage-b,baseline,44,,completed,optimization.first_update.first_step_kl,0.09131687751361511,,,
stage-b,baseline,44,,completed,optimization.first_update.first_step_mean_kl,0.09131681748473916,,,
stage-b,baseline,44,,completed,optimization.first_update.first_step_std_kl,6.002887595551e-08,,,
stage-b,baseline,44,,completed,optimization.first_update.first_step_mean_change_rms,0.03489354039145398,,,
